filme,avaliacao
"Vingadores: Ultimato","Filme incrível, efeitos especiais impressionantes!"
"Titanic","Uma história emocionante que me fez chorar."
"Cats","Nem sei o que dizer... foi estranho."
"Pantera Negra","Ótimo filme com representatividade!"
"Morbius","Péssimo, não consegui assistir até o final."
"Barbie","Divertido e colorido, adorei cada cena!"
"Batman","O novo Batman está sombrio, mas muito bom."
"Super Mario Bros","Muito nostálgico e divertido!"
"Corra!","Um suspense inteligente e envolvente."
"Frozen","As músicas grudam na cabeça, minha filha adorou!"
"Duna","Visualmente impressionante, mas achei cansativo."
"Minions 2","As crianças riram bastante, sucesso total."
"Velocidade Furiosa 10","Muita ação, mas o roteiro foi fraco."
"A Forma da Água","Muito sensível e artístico, lindo."
"O Gato de Botas 2","Surpreendentemente emocionante!"
"Matrix Resurrections","Não alcança o original, mas tem bons momentos."
"Avatar: O Caminho da Água","Visual maravilhoso, vale o ingresso."
"Oppenheimer","Denso e profundo, excelente atuação."
"A Freira 2","Assustador, mas meio previsível."
"Elementos","Uso criativo das emoções, uma bela mensagem."
